============
Log file for device BEAD_TRACKER
File created on (yy-mm-dd) 17-08-25 at 11h13m21.393s
Type CamTracker
Linked to CAMERA_GUPPY
Position is in pixel size.
Above:0
Treshold:145.92
Data:	Xr 	Yr 	X absolute	Y absolute
============
Track Pos	22.438	7.4319	401.438	267.4319
Track Pos	21.3871	7.7377	400.3871	267.7377
Track Pos	20.7039	9.0735	399.7039	269.0735
Track Pos	20.7582	9.5194	399.7582	269.5194
Track Pos	21.373	9.8621	400.373	269.8621
Track Pos	22.2362	8.1375	401.2362	268.1375
Track Pos	22.1234	4.915	401.1234	264.915
Track Pos	22.4896	4.3015	401.4896	264.3015
Track Pos	23.2303	4.4861	402.2303	264.4861
Track Pos	24.2292	3.9084	403.2292	263.9084
Track Pos	24.0172	3.2251	403.0172	263.2251
Track Pos	23.7202	0.087841	402.7202	260.0878
Track Pos	23.9234	0.23033	402.9234	260.2303
Track Pos	23.6681	0.78603	402.6681	260.786
Track Pos	24.0685	-0.76701	403.0685	259.233
